Week of 03/15/2026-03/28/2026,Clock In,Clock Out,Lunch Break,15 Minute Break,Other,Total,Notes
Sunday 03/15,,,,,,,
Monday 03/16 (WFH),8:30AM,5:00PM,12:00-12:30pm,,9 am-11 am Dr apt.,6hrs REG/2 hrs SLA,
Tuesday 03/17 (In office),8:30AM,5:00PM,12:00-12:30pm,,,8hrs REG,
Wednesday 03/18 (In office),8:30AM,5:00PM,12:00-12:30pm,,,8hrs REG,
Thursday 03/19 (In office),8:30AM,5:00PM,12:00-12:30pm,,,8hrs REG,
Friday 03/20 (WFH),8:30AM,5:00PM,12:00-12:30pm,,,8hrs REG,
Saturday 03/21 (In District),9:00AM,11:00AM,,,,2 hrs WEEKEND/EVENING,OCCOC Bazaar Event worked
Sunday 03/22,,,,,,,
Monday 03/23 (WFH),8:30AM,3:00PM,12:00-12:30pm,,,6hrs REG,Make up 2 hours from 3/21
Tuesday 03/24 (In office),8:30AM,5:00PM,12:00-12:30pm,,,8hrs REG,
Wednesday 03/25 (In office),8:30AM,5:00PM,1:30-2:00pm,,,8hrs REG,
Thursday 03/26 (In office),8:30AM,5:00PM,12:00-12:30pm,,,8hrs REG,
Friday 03/27 (WFH),8:30AM,5:00PM,12:00-12:30pm,,,8hrs REG,
Saturday 03/28,,,,,,78 hrs REG/2 hrs SLA,